ID,Comment Type,Application/Product,Comment,,Ground Truth Label,Justificaiton,"***NOTE: For the first three applications, I pulled the first 15 reviews from the top 3 applications in athenaMarketplace, filtered by 'Most Customers'",,,,
24,Application Review,Phreesia,"I've had the good fortune to work with Vaishali Singh as our Phreesia account representative. She has been amazing! She is always quick to respond to the myriad questions we throw her way. She is extremely knowledgeable, well spoken, and eager to assist with the different features Phreesia provides.",,Clear,"Positive experience working with Phreesia representitive. Quick response time, knowledgable, well spoken, eagar to assist.",,,,,
25,Application Review,Phreesia,RUN DONT MAKE THE MISTAKE WE MADE GO WITH YOSI CARE,,Vague,"Why should customers not go with Phreesia, what makes this customer recommend Yosi Care over phreesia?",,,,,
26,Application Review,Phreesia,Our office implemented with Phreesia about 6 months ago. We had a wonderful implementation team. Phreesia was extremely diligent in making sure that we had all forms and processes the way our physicians requested. They continue to support us in any issue that arises. I would definitely recommend them. I wanted to give a special thank you to Karan.,,Clear,,,,,,
27,Application Review,Phreesia,"we really like the phreesia platform. The team is very attentive to our needs. They are very engaged and work to support our success. They feel like team members. We love our account rep Shubhit Mathus, he works hard to help us customize and tailor the workflows to our clinical operations. we use it for patient intake, check-in, copay collection, appointment reminders, online scheduling, eligibility checking, appointment accelerator, and are looking at other features - LOVE the way they are able to report progress/results and show their value to us",,,,,,,,
28,Application Review,Phreesia,"We've had a great experience with Phreesia, our representative, Aarti Bhansali has been a great resource for our practice. She has been knowledgeable and promptly responds to my communications. Happy overall with our experience.",,,,,,,,
29,Application Review,Phreesia,"I have been using Phreesia since 2021. Phreesia has improved the efficiency and effectiveness of my practice by automating patient intake and engagement. I recently had the pleasure of working with Arpit Shah from Phreesia and the service he provides is nothing short of exceptional. Arpit is incredibly responsive and professional throughout our engagement. He is always available to answer questions and provides timely updates, ensuring that I am well-informed at every stage.",,,,,,,,
30,Application Review,Phreesia,"Phreesia has been a great addition to our office workflow. Our Phreesia implementation team has been great to work with. They are on weekly calls to troubleshoot and improve the process for our office, while accessible for daily questions via email. Overall, the patients are receptive. The office has implemented Phreesia easily. There are some favorite features of course. Phreesia has integrated nicely with Athena. Co-pays can be collected when the patient is registering, the patients can attach their Insurance card, and forms are editable. We have also added the tablet for in office registration, when needed. It has been a beneficial addition to our office.",,,,,,,,
31,Application Review,TSI - Profit Recovery,"TSI is a fantastic collection agency. Joseph Krolikowski has been a tremendous help with training our team on how to work our collections in TSI and how to research in athena. We have learned more from him about navigating athena than from athena's videos. If you need assistance with your collections and training your staff, you should reach out to him directly at joseph.krolikowski@transworldsystems.com.
",,,,,,,,
32,Application Review,TSI - Profit Recovery,Orthopaedic Associates implemented TSI Profit Recovery a year ago. The integration process was seamless and return on this investment has remained high. We strongly recommend this as an Athena user as super easy to implement and to use. It has definitely helped capture collections that might have otherwise been uncollected.,,,,,,,,
33,Application Review,TSI - Profit Recovery,"TSI has been wonderful to work with. Their collection rates for us have been impressive, the customer support has been responsive, and the platform is very easy to navigate. From the psychiatry perspective, our patients have been treated with sensitivity and respect. Our rep Mike Buske is always prompt and supportive.",,,,,,,,
34,Application Review,TSI - Profit Recovery,"TSI works so well with Athena and I have not had any issues. Mike, our account rep, is always available to help with any issues that we have. We are very pleased with the turn around of them collecting our money.",,,,,,,,
35,Application Review,TSI - Profit Recovery,"Very effective, professional and sensible. We would recommend to all practices in need of a collections agency. Thank you TSI and Bret!",,,,,,,,
36,Application Review,TSI - Profit Recovery,"TSI is not very flexible and their back end customer service has left a lot to be desired. Also, their collection fees that are charged to us are a lot higher than our local collection agencies.",,,,,,,,
37,Application Review,TSI - Profit Recovery,Betsy s. was so helpful getting us to better understand TSI's website. Betsy is a very nice and helpful person.,,,,,,,,
38,Application Review,TSI - Profit Recovery,TSI integrates seamlessly with Athena. The workflows are very easy to learn. TSI reporting is very clear on the results from the accounts we send them to work. definitely a great partner for Athena.,,,,,,,,
39,Application Review,TSI - Profit Recovery,"We have been using TSI since before I started with the company. I had been promoted and took over our collections process. I recently had a meeting with Karen Cooper and Joe Krolikowski who helped us with figuring out our collection policies in Athena and how to automate some processes to take some of the work load off of us. It was incredibly helpful and they both had great insights into the system and how to make it work FOR us. I can't say enough how much I appreciated them taking the time to walk us through all of the steps and answering all of our questions. I have nothing but good things to say about TSI, Karen, and Joe!",,,,,,,,
40,Application Review,TSI - Profit Recovery,TSI is awesome. Joe explained detail by detail on how to make the collections process very easy.,,,,,,,,
41,Application Review,TSI - Profit Recovery,"We enjoy the ease of use and direct integrations with Athena. However, their ""soft collections"" option is not effective. Around 90% of all people sent to soft collections ended up not paying and going to the next level which is a traditional collections model. Save yourself the money and only send to traditional collections. Also recently our connection between TSI and Athena has broken in that any account that is closed by TSI does not report that back to Athena at all. Leaving us with patients charts stating they still owe money when in fact they do not. TSI has looked into the problem but found that it must be on the Athena side and closed the case. Would like more collaboration between the TSI and Athena teams. Also last critical point is that the dashboard graphs are not correct at all making them useless, and also there is no way to filter out closed accounts on the account list page. TSI has a lot of potential to make things great with little effort but no quite there yet.",,,,,,,,
42,Application Review,TSI - Profit Recovery,"I have been on Athena since 2001. I have been with TSI, since 2011. TSI is so easy to use, and works seamlessly with Athena. I see excellent results and in a timely manner. The option of automating the self-pay collections, means a practice won’t get busy and forget to send over-due accounts to collections! I also can easily log into TSI’s portal and report payments, and when a patient pays TSI directly it is reported right into Athena!! I do not have to do anything! TSI provides a dedicated service representative for your account. Whenever I email or call my rep Charlie, he responds immediately. He also reaches out to me often with pleasant emails checking to see if I need anything. I would highly recommend TSI to any medical group. TSI offers excellent recovery of your money and great customer service. And, if your group uses Athena, using TSI is a no brainer. They take recovering your money seriously and work so well with Athena, you can just sit back and watch your money come in. Thank you for allowing me this opportunity to say how pleased I am with TSI",,,,,,,,
43,Application Review,TSI - Profit Recovery,"1.4.22 Wanted to let everyone know how much I appreciate the hard work and help I get from TSI on our accounts. Our rep. Jimmie Dukes is very knowledgeable and a very kind person. The whole team is great to work with. Thanks, VP",,,,,,,,
44,Application Review,TSI - Profit Recovery,"We are a very small practice that has been reluctant to engage with a collection agency since our start-up. We love our patients and hate to send any accounts to collections and with minimal staff already doing 3 jobs each, no one had the time to take on another task. However, it finally became unavoidably necessary. TSI was highly recommended so we initiated contact. Betsy Sendel responded promptly. Long story short - we should have done this a long time ago! Betsy is always quick to respond to any question or issue that arises. She was so attentive to our specific needs and flexible to accommodate our crazy schedule for the initial set-up. TSI pretty much does everything for you after you submit the accounts, which is so quick & easy through Athena. If you are hesitantly looking into a collection partner or are not happy with your current agency - jump on in here! You will find it warm and satisfying :-)",,,,,,,,
45,Application Review,TSI - Profit Recovery,I have worked with TSI for over 15 years. Rosemary and the Athena interface have made an exceptional improvement in our collection process and I personally appreciate their efficiency and processes.,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,,,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,,,,,,,,,,
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,,,,,,,,,,
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,,,,,,,,,,,
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,,,,,,,,,,,
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,,,,,,,,,,,
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
